RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 92663 435439
block_tx 92664 435440
block_tx 92665 435441
block_tx 92666 435442
block_tx 92667 435443
block_tx 92668 435444
block_tx 92669 435445
block_tx 92669 435446
block_tx 92669 435447
block_tx 92670 435448
block_tx 92671 435449
block_tx 92672 435450
block_tx 92673 435451
block_tx 92674 435452
block_tx 92675 435453
block_tx 92676 435454
block_tx 92677 435455
block_tx 92677 435456
block_tx 92678 435457
block_tx 92679 435458
block_tx 92679 435459
block_tx 92679 435460
block_tx 92679 435461
block_tx 92679 435462
block_tx 92679 435463
block_tx 92680 435464
block_tx 92681 435465
block_tx 92682 435466
block_tx 92683 435467
block_tx 92684 435468
block_tx 92685 435469
block_tx 92686 435470
block_tx 92686 435471
block_tx 92686 435472
block_tx 92687 435473
block_tx 92687 435474
block_tx 92687 435475
block_tx 92687 435476
block_tx 92687 435477
block_tx 92687 435478
block_tx 92688 435479
block_tx 92689 435480
block_tx 92690 435481
block_tx 92691 435482
block_tx 92692 435483
block_tx 92693 435484
block_tx 92694 435485
block_tx 92695 435486
block_tx 92696 435487
block_tx 92697 435488
block_tx 92698 435489
block_tx 92699 435490
block_tx 92700 435491
block_tx 92701 435492
block_tx 92701 435493
block_tx 92702 435494
block_tx 92703 435495
block_tx 92704 435496
block_tx 92705 435497
block_tx 92706 435498
block_tx 92706 435499
block_tx 92707 435500
block_tx 92707 435501
block_tx 92707 435502
block_tx 92707 435503
block_tx 92708 435504
block_tx 92709 435505
block_tx 92710 435506
block_tx 92711 435507
block_tx 92711 435508
block_tx 92711 435509
block_tx 92712 435510
block_tx 92713 435511
block_tx 92714 435512
block_tx 92715 435513
block_tx 92716 435514
block_tx 92717 435515
block_tx 92718 435516
block_tx 92719 435517
block_tx 92719 435518
block_tx 92720 435519
block_tx 92721 435520
block_tx 92722 435521
block_tx 92723 435522
block_tx 92724 435523
block_tx 92724 435524
block_tx 92725 435525
block_tx 92726 435526
block_tx 92727 435527
block_tx 92728 435528
block_tx 92729 435529
block_tx 92730 435530
block_tx 92730 435531
block_tx 92731 435532
block_tx 92731 435533
RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 92732 435536
block_tx 92732 435537
block_tx 92732 435538
block_tx 92732 435539
block_tx 92732 435540
block_tx 92732 435541
block_tx 92732 435542
block_tx 92732 435543
block_tx 92732 435544
